Date,State_FIPS,Administered_Doses_65Plus_Daily,Series_Complete_65Plus_Daily,Booster_Doses_18Plus_Daily,Series_Complete_18Plus_Daily,Administered_Doses_18Plus_Daily,Census2019_18PlusPop,Deaths,Confirmed,Province_State,FIPS,Lat,Long_
2021-05-03,10,116.0,147.0,0.0,1184.0,1030.0,770192.0,0,158,Delaware,10,39.3185,-75.5071
2021-05-03,11,42.0,89.0,0.0,868.0,448.0,577581.0,0,103,District of Columbia,11,38.8974,-77.0268
2021-05-03,12,2049.0,1824.0,0.0,19493.0,20977.0,17247808.0,39,3075,Florida,12,27.7663,-81.6868
2021-05-03,13,590.0,1050.0,0.0,12735.0,5522.0,8113542.0,15,870,Georgia,13,33.0406,-83.6431
2021-05-03,15,0.0,0.0,0.0,0.0,0.0,1116004.0,1,74,Hawaii,15,21.0943,-157.4983
2021-05-03,16,102.0,228.0,0.0,2864.0,1077.0,1338864.0,6,368,Idaho,16,44.2405,-114.4788
2021-05-03,17,682.0,832.0,0.0,7847.0,7646.0,9853946.0,31,2049,Illinois,17,40.3495,-88.9861
2021-05-03,18,13.0,2.0,0.0,48.0,129.0,5164245.0,1,797,Indiana,18,39.8494,-86.2583
2021-05-03,19,133.0,299.0,0.0,5509.0,2026.0,2428229.0,0,230,Iowa,19,42.0115,-93.2105
2021-05-03,20,97.0,116.0,0.0,2072.0,905.0,2213064.0,3,497,Kansas,20,38.5266,-96.7265
2021-05-03,21,92.0,223.0,0.0,2479.0,1359.0,3464802.0,8,310,Kentucky,21,37.6681,-84.6701
2021-05-03,22,962.0,1740.0,0.0,13591.0,7966.0,3561164.0,11,759,Louisiana,22,31.1695,-91.8678
2021-05-03,23,783.0,1096.0,0.0,16490.0,8350.0,1095370.0,1,245,Maine,23,44.6939,-69.3819
2021-05-03,24,694.0,754.0,0.0,11108.0,9925.0,4710993.0,12,520,Maryland,24,39.0639,-76.8021
2021-05-03,25,494.0,1620.0,0.0,21827.0,8243.0,5539703.0,14,563,Massachusetts,25,42.2302,-71.5301
2021-05-03,26,1133.0,2904.0,0.0,28775.0,9361.0,7842924.0,29,5557,Michigan,26,43.3266,-84.5361
2021-05-03,27,487.0,594.0,0.0,16814.0,11929.0,4336475.0,3,1105,Minnesota,27,45.6945,-93.9002
2021-05-03,28,1244.0,2888.0,0.0,17516.0,6529.0,2277566.0,8,500,Mississippi,28,32.7416,-89.6787
2021-05-03,29,724.0,1635.0,0.0,18618.0,6328.0,4766843.0,2,357,Missouri,29,38.4561,-92.2884
2021-05-03,30,60.0,161.0,0.0,954.0,267.0,840190.0,0,62,Montana,30,46.9219,-110.4544
2021-05-03,31,246.0,625.0,0.0,17043.0,3600.0,1458334.0,0,98,Nebraska,31,41.1254,-98.2681
2021-05-03,32,230.0,471.0,0.0,6716.0,2891.0,2387517.0,9,801,Nevada,32,38.3135,-117.0554
2021-05-03,33,0.0,6.0,0.0,41.0,0.0,1104458.0,0,129,New Hampshire,33,43.4525,-71.5639
2021-05-03,34,1046.0,3630.0,0.0,26668.0,8592.0,6943612.0,16,983,New Jersey,34,40.2989,-74.521
2021-05-03,35,1650.0,1970.0,0.0,7003.0,5002.0,1620991.0,6,639,New Mexico,35,34.8405,-106.2485
2021-05-03,36,2255.0,4195.0,0.0,51542.0,26680.0,15425262.0,62,2428,New York,36,42.1657,-74.9481
2021-05-03,37,607.0,1366.0,0.0,20870.0,6780.0,8187369.0,40,4567,North Carolina,37,35.6301,-79.8064
2021-05-03,38,0.0,0.0,0.0,8.0,9.0,581891.0,0,149,North Dakota,38,47.5289,-99.784
2021-05-03,39,433.0,750.0,0.0,7007.0,3602.0,9111081.0,17,995,Ohio,39,40.3888,-82.7649
2021-05-03,40,244.0,384.0,0.0,3611.0,2159.0,3004733.0,0,567,Oklahoma,40,35.5653,-96.9289
2021-05-03,41,841.0,1067.0,0.0,10740.0,11434.0,3351175.0,1,534,Oregon,41,44.572,-122.0709
2021-05-03,42,3072.0,4529.0,0.0,29480.0,28427.0,10167376.0,16,1670,Pennsylvania,42,40.5908,-77.2098
2021-05-03,44,0.0,231.0,0.0,3554.0,0.0,854866.0,7,483,Rhode Island,44,41.6809,-71.5118
2021-05-03,45,102.0,141.0,0.0,1136.0,1047.0,4037531.0,4,521,South Carolina,45,33.8569,-80.945
2021-05-03,46,1.0,9.0,0.0,156.0,26.0,667558.0,3,85,South Dakota,46,44.2998,-99.4388
2021-05-03,47,13.0,12.0,0.0,213.0,216.0,5319123.0,13,657,Tennessee,47,35.7478,-86.6923
2021-05-03,48,0.0,0.0,0.0,0.0,0.0,21596071.0,41,1552,Texas,48,31.0545,-97.5635
2021-05-03,49,5.0,2.0,0.0,75.0,71.0,2274774.0,0,228,Utah,49,40.15,-111.8624
2021-05-03,50,70.0,207.0,0.0,2159.0,1753.0,509984.0,1,32,Vermont,50,44.0459,-72.7107
2021-05-03,51,377.0,687.0,0.0,6334.0,5392.0,6674671.0,16,611,Virginia,51,37.7693,-78.17
2021-05-03,53,1024.0,1468.0,0.0,29007.0,24523.0,5951832.0,8,2482,Washington,53,47.4009,-121.4905
2021-05-03,54,8.0,31.0,0.0,271.0,90.0,1432580.0,0,289,West Virginia,54,38.4912,-80.9545
2021-05-03,55,133.0,217.0,0.0,3876.0,1982.0,4555837.0,0,384,Wisconsin,55,44.2685,-89.6165
2021-05-03,56,143.0,232.0,0.0,1557.0,792.0,445025.0,0,148,Wyoming,56,42.756,-107.3025
2021-05-03,66,0.0,42.0,0.0,553.0,0.0,129299.0,0,8,Guam,66,13.4443,144.7937
2021-05-03,72,0.0,0.0,0.0,4.0,19.0,2620965.0,8,460,Puerto Rico,72,18.2208,-66.5901
2021-05-04,10,136.0,195.0,0.0,2305.0,1185.0,770192.0,0,137,Delaware,10,39.3185,-75.5071
2021-05-04,11,21.0,18.0,0.0,842.0,203.0,577581.0,0,83,District of Columbia,11,38.8974,-77.0268
2021-05-04,12,6163.0,8317.0,0.0,69434.0,42084.0,17247808.0,92,3682,Florida,12,27.7663,-81.6868
2021-05-04,13,23.0,25.0,0.0,712.0,604.0,8113542.0,14,1178,Georgia,13,33.0406,-83.6431
2021-05-04,15,0.0,0.0,0.0,0.0,0.0,1116004.0,0,78,Hawaii,15,21.0943,-157.4983
2021-05-04,16,395.0,299.0,0.0,2343.0,3219.0,1338864.0,0,209,Idaho,16,44.2405,-114.4788
2021-05-04,17,2014.0,2890.0,0.0,25986.0,16472.0,9853946.0,21,2211,Illinois,17,40.3495,-88.9861
2021-05-04,18,99.0,284.0,0.0,7070.0,1021.0,5164245.0,13,771,Indiana,18,39.8494,-86.2583
2021-05-04,19,371.0,778.0,0.0,7977.0,3130.0,2428229.0,1,377,Iowa,19,42.0115,-93.2105
2021-05-04,20,166.0,219.0,0.0,2262.0,1251.0,2213064.0,0,14,Kansas,20,38.5266,-96.7265
2021-05-04,21,679.0,1526.0,0.0,11871.0,4594.0,3464802.0,7,772,Kentucky,21,37.6681,-84.6701
2021-05-04,22,4.0,7.0,0.0,322.0,91.0,3561164.0,12,997,Louisiana,22,31.1695,-91.8678
2021-05-04,23,434.0,576.0,0.0,6634.0,4141.0,1095370.0,0,418,Maine,23,44.6939,-69.3819
2021-05-04,24,1408.0,1919.0,0.0,21481.0,12022.0,4710993.0,15,501,Maryland,24,39.0639,-76.8021
2021-05-04,25,1226.0,1910.0,0.0,32184.0,20504.0,5539703.0,6,854,Massachusetts,25,42.2302,-71.5301
2021-05-04,26,1959.0,2882.0,0.0,29458.0,13097.0,7842924.0,133,3120,Michigan,26,43.3266,-84.5361
2021-05-04,27,22.0,19.0,0.0,223.0,99.0,4336475.0,11,995,Minnesota,27,45.6945,-93.9002
2021-05-04,28,459.0,958.0,0.0,5708.0,2528.0,2277566.0,14,208,Mississippi,28,32.7416,-89.6787
2021-05-04,29,1043.0,2089.0,0.0,14687.0,5211.0,4766843.0,59,549,Missouri,29,38.4561,-92.2884
2021-05-04,30,19.0,48.0,0.0,634.0,178.0,840190.0,3,223,Montana,30,46.9219,-110.4544
2021-05-04,31,2.0,5.0,0.0,71.0,32.0,1458334.0,0,256,Nebraska,31,41.1254,-98.2681
2021-05-04,32,76.0,194.0,0.0,1671.0,598.0,2387517.0,7,476,Nevada,32,38.3135,-117.0554
2021-05-04,33,0.0,4.0,0.0,180.0,0.0,1104458.0,2,208,New Hampshire,33,43.4525,-71.5639
2021-05-04,34,1731.0,4419.0,0.0,35890.0,13385.0,6943612.0,42,1004,New Jersey,34,40.2989,-74.521
2021-05-04,35,0.0,195.0,0.0,979.0,9.0,1620991.0,10,204,New Mexico,35,34.8405,-106.2485
2021-05-04,36,9228.0,9376.0,0.0,70116.0,38833.0,15425262.0,60,2209,New York,36,42.1657,-74.9481
2021-05-04,37,1558.0,2764.0,0.0,28147.0,14944.0,8187369.0,9,981,North Carolina,37,35.6301,-79.8064
2021-05-04,38,2.0,5.0,0.0,197.0,75.0,581891.0,0,169,North Dakota,38,47.5289,-99.784
2021-05-04,39,1807.0,2872.0,0.0,21714.0,10920.0,9111081.0,17,1285,Ohio,39,40.3888,-82.7649
2021-05-04,40,437.0,937.0,0.0,7785.0,3826.0,3004733.0,0,169,Oklahoma,40,35.5653,-96.9289
2021-05-04,41,411.0,560.0,0.0,9502.0,8245.0,3351175.0,6,733,Oregon,41,44.572,-122.0709
2021-05-04,42,6690.0,8472.0,0.0,44171.0,32531.0,10167376.0,51,3311,Pennsylvania,42,40.5908,-77.2098
2021-05-04,44,0.0,262.0,0.0,5065.0,0.0,854866.0,3,260,Rhode Island,44,41.6809,-71.5118
2021-05-04,45,575.0,893.0,0.0,6876.0,4171.0,4037531.0,0,427,South Carolina,45,33.8569,-80.945
2021-05-04,46,10.0,67.0,0.0,1534.0,77.0,667558.0,3,229,South Dakota,46,44.2998,-99.4388
2021-05-04,47,179.0,345.0,0.0,5077.0,1636.0,5319123.0,11,850,Tennessee,47,35.7478,-86.6923
2021-05-04,48,0.0,0.0,0.0,0.0,0.0,21596071.0,48,4150,Texas,48,31.0545,-97.5635
2021-05-04,49,527.0,604.0,0.0,16520.0,11698.0,2274774.0,13,259,Utah,49,40.15,-111.8624
2021-05-04,50,58.0,62.0,0.0,1259.0,1969.0,509984.0,0,33,Vermont,50,44.0459,-72.7107
2021-05-04,51,918.0,1151.0,0.0,15187.0,10126.0,6674671.0,16,771,Virginia,51,37.7693,-78.17
2021-05-04,53,360.0,342.0,0.0,7149.0,7385.0,5951832.0,21,1416,Washington,53,47.4009,-121.4905
2021-05-04,54,114.0,170.0,0.0,1063.0,592.0,1432580.0,9,344,West Virginia,54,38.4912,-80.9545
2021-05-04,55,679.0,1092.0,0.0,12195.0,5051.0,4555837.0,15,824,Wisconsin,55,44.2685,-89.6165
2021-05-04,56,2.0,5.0,0.0,29.0,48.0,445025.0,3,77,Wyoming,56,42.756,-107.3025
2021-05-04,66,0.0,24.0,0.0,467.0,0.0,129299.0,1,15,Guam,66,13.4443,144.7937
2021-05-04,72,2210.0,2962.0,0.0,18555.0,17256.0,2620965.0,14,198,Puerto Rico,72,18.2208,-66.5901
